Municipality Long,Municipality,Administrative Division,Territory,Pop2020,Pop2021,Pop2022
Adjuntas municipio,Adjuntas,Central Mountains,Puerto Rico,18010,18026,17905
Aguada municipio,Aguada,West,Puerto Rico,38108,38003,37666
Aguadilla municipio,Aguadilla,West,Puerto Rico,55046,54632,53931
Aguas Buenas municipio,Aguas Buenas,Central Mountains,Puerto Rico,24189,23975,23538
Aibonito municipio,Aibonito,Central Mountains,Puerto Rico,24633,24681,24555
Añasco municipio,Añasco,West,Puerto Rico,25570,25414,25026
Arecibo municipio,Arecibo,North,Puerto Rico,87637,87144,86090
Arroyo municipio,Arroyo,East,Puerto Rico,15817,15607,15289
Barceloneta municipio,Barceloneta,North,Puerto Rico,22669,22632,22416
Barranquitas municipio,Barranquitas,Central Mountains,Puerto Rico,28981,29071,28944
Bayamón municipio,Bayamón,Metro,Puerto Rico,184954,183960,181577
Cabo Rojo municipio,Cabo Rojo,West,Puerto Rico,47121,47092,46718
Caguas municipio,Caguas,Metro,Puerto Rico,127072,126604,125136
Camuy municipio,Camuy,North,Puerto Rico,32818,32882,32620
Canóvanas municipio,Canóvanas,Metro,Puerto Rico,42326,42145,41637
Carolina municipio,Carolina,Metro,Puerto Rico,154557,153505,151571
Cataño municipio,Cataño,Metro,Puerto Rico,23113,22811,22364
Cayey municipio,Cayey,Central Mountains,Puerto Rico,41587,41308,40782
Ceiba municipio,Ceiba,East,Puerto Rico,11284,11146,10931
Ciales municipio,Ciales,Central Mountains,Puerto Rico,16972,16938,16742
Cidra municipio,Cidra,Central Mountains,Puerto Rico,39957,39908,39515
Coamo municipio,Coamo,Central Mountains,Puerto Rico,34603,34352,33887
Comerío municipio,Comerío,Central Mountains,Puerto Rico,18867,18855,18619
Corozal municipio,Corozal,Central Mountains,Puerto Rico,34551,34582,34322
Culebra municipio,Culebra,East,Puerto Rico,1790,1783,1769
Dorado municipio,Dorado,North,Puerto Rico,35902,35934,35663
Fajardo municipio,Fajardo,East,Puerto Rico,32087,31819,31375
Florida municipio,Florida,Central Mountains,Puerto Rico,11682,11667,11538
Guánica municipio,Guánica,West,Puerto Rico,13686,13279,12800
Guayama municipio,Guayama,South,Puerto Rico,36474,35624,35262
Guayanilla municipio,Guayanilla,South,Puerto Rico,17739,17478,17064
Guaynabo municipio,Guaynabo,Metro,Puerto Rico,89758,89721,89057
Gurabo municipio,Gurabo,Metro,Puerto Rico,40589,40488,40061
Hatillo municipio,Hatillo,North,Puerto Rico,38447,38382,38021
Hormigueros municipio,Hormigueros,West,Puerto Rico,15618,15567,15413
Humacao municipio,Humacao,East,Puerto Rico,50824,50524,49924
Isabela municipio,Isabela,North,Puerto Rico,42939,42983,42754
Jayuya municipio,Jayuya,Central Mountains,Puerto Rico,14771,14707,14495
Juana Díaz municipio,Juana Díaz,South,Puerto Rico,46499,46370,45923
Juncos municipio,Juncos,Metro,Puerto Rico,37030,36993,36672
Lajas municipio,Lajas,West,Puerto Rico,23279,23211,22936
Lares municipio,Lares,West,Puerto Rico,28090,27986,27774
Las Marías municipio,Las Marías,West,Puerto Rico,8856,8818,8705
Las Piedras municipio,Las Piedras,Metro,Puerto Rico,35179,35143,34814
Loíza municipio,Loíza,Metro,Puerto Rico,23608,23230,22657
Luquillo municipio,Luquillo,East,Puerto Rico,17766,17684,17449
Manatí municipio,Manatí,North,Puerto Rico,39451,39258,38751
Maricao municipio,Maricao,West,Puerto Rico,4752,4680,4575
Maunabo municipio,Maunabo,East,Puerto Rico,10581,10525,10368
Mayagüez municipio,Mayagüez,West,Puerto Rico,72843,71917,70609
Moca municipio,Moca,West,Puerto Rico,37455,37500,37279
Morovis municipio,Morovis,Central Mountains,Puerto Rico,28704,28590,28277
Naguabo municipio,Naguabo,East,Puerto Rico,23384,23275,22964
Naranjito municipio,Naranjito,Central Mountains,Puerto Rico,29246,29345,29208
Orocovis municipio,Orocovis,Central Mountains,Puerto Rico,21431,21413,21229
Patillas municipio,Patillas,East,Puerto Rico,15937,15804,15524
Peñuelas municipio,Peñuelas,South,Puerto Rico,20349,20142,19763
Ponce municipio,Ponce,South,Puerto Rico,137149,134754,132138
Quebradillas municipio,Quebradillas,North,Puerto Rico,23619,23540,23332
Rincón municipio,Rincón,West,Puerto Rico,15206,15335,15316
Río Grande municipio,Río Grande,East,Puerto Rico,47005,46575,45840
Sabana Grande municipio,Sabana Grande,West,Puerto Rico,22701,22632,22351
Salinas municipio,Salinas,South,Puerto Rico,25722,25467,25000
San Germán municipio,San Germán,West,Puerto Rico,31824,31572,31174
San Juan municipio,San Juan,Metro,Puerto Rico,341667,339335,334776
San Lorenzo municipio,San Lorenzo,Metro,Puerto Rico,37671,37613,37260
San Sebastián municipio,San Sebastián,West,Puerto Rico,39312,39279,38969
Santa Isabel municipio,Santa Isabel,South,Puerto Rico,20269,20114,19822
Toa Alta municipio,Toa Alta,Metro,Puerto Rico,66842,66710,66041
Toa Baja municipio,Toa Baja,Metro,Puerto Rico,75092,74189,72783
Trujillo Alto municipio,Trujillo Alto,Metro,Puerto Rico,67687,67520,66810
Utuado municipio,Utuado,Central Mountains,Puerto Rico,28225,27975,27535
Vega Alta municipio,Vega Alta,North,Puerto Rico,35367,35205,34786
Vega Baja municipio,Vega Baja,North,Puerto Rico,54357,54228,53684
Vieques municipio,Vieques,East,Puerto Rico,8236,8172,8043
Villalba municipio,Villalba,Central Mountains,Puerto Rico,22041,21817,21466
Yabucoa municipio,Yabucoa,East,Puerto Rico,30329,29945,29305
Yauco municipio,Yauco,South,Puerto Rico,34048,33603,32904
